year,region,typology,cost_per_m2,source,yoy_change_pct
2021,Coast,Standard Bungalow,35410,Integrum Construction Cost Report 2021,
2022,Coast,Standard Bungalow,36250,Integrum Construction Cost Report 2022,2.37
2023,Coast,Standard Bungalow,43250,Integrum Construction Cost Report 2023,19.31
2024,Coast,Standard Bungalow,51800,Integrum Construction Cost Report 2024,19.77
2021,Nairobi/Mt Kenya,Standard Bungalow,33450,Integrum Construction Cost Report 2021,
2022,Nairobi/Mt Kenya,Standard Bungalow,34650,Integrum Construction Cost Report 2022,3.59
2023,Nairobi/Mt Kenya,Standard Bungalow,41600,Integrum Construction Cost Report 2023,20.06
2024,Nairobi/Mt Kenya,Standard Bungalow,48750,Integrum Construction Cost Report 2024,17.19
2025,Nairobi/Mt Kenya,Standard Bungalow,54730,Integrum Construction Cost Report 2025,12.27
2021,Western/Nyanza,Standard Bungalow,36300,Integrum Construction Cost Report 2021,
2022,Western/Nyanza,Standard Bungalow,36850,Integrum Construction Cost Report 2022,1.52
2023,Western/Nyanza,Standard Bungalow,42000,Integrum Construction Cost Report 2023,13.98
2024,Western/Nyanza,Standard Bungalow,48750,Integrum Construction Cost Report 2024,16.07
